District,District_Index,NDVI,EVI,NIR-V,CSIF,Rainfall,Tmax,Tmin,Solr_mean,Ground_Truth
faridkot 2002,31,0.53261234375,0.3854453125,0.177787415734375,0.64135325,0.27079109999999995,37.26101303100586,27.502582550048828,274.18344116210943,3.255813953488372
faridkot 2002,31,0.5426716875,0.39912734375,0.18698002520937498,0.719017,2.5156193,35.65823745727539,26.480426788330078,256.7176513671875,3.255813953488372
faridkot 2002,31,0.5636290312500001,0.41825246875,0.19908691715625,0.8255966999999999,0.67502874,33.75394821166992,25.00739097595215,262.736083984375,3.255813953488372
faridkot 2002,31,0.48554746875,0.3385710625,0.1489126204375,0.708543,3.6097042999999998,33.37432861328125,22.74507141113281,267.16867065429693,3.255813953488372
faridkot 2002,31,0.335265625,0.2180530624999999,0.08837161579375001,0.42142534,1.5225732,33.452919006347656,21.927757263183594,254.80886840820312,3.255813953488372
faridkot 2002,31,0.2536545,0.1457920312499999,0.054006052184375,0.18992311,0.039089885,31.11635398864746,19.182424545288086,217.19644165039062,3.255813953488372
faridkot 2002,31,0.22702409375,0.12972965625,0.047675758453125,0.09359281,0.26553562,27.200481414794922,17.216909408569336,185.74996948242188,3.255813953488372
faridkot 2002,31,0.22199653125,0.118139875,0.041979715396875006,0.0699122,0.16443394,25.53725242614746,13.384908676147461,186.21218872070312,3.255813953488372
faridkot 2003,31,0.1730342555175629,0.1096960522225676,0.0412332805066832,0.05234356,0.6491521,41.44640731811523,25.772462844848636,318.894287109375,3.6666666666666665
faridkot 2003,31,0.1986642834939384,0.1322915760024867,0.050383674815045,0.0745372,0.22610210000000003,40.956809997558594,27.58656120300293,289.6601867675781,3.6666666666666665
faridkot 2003,31,0.3187084239975132,0.2045344109418713,0.0806518179857009,0.13914436,0.0,36.31371307373047,26.30966567993164,283.2626647949219,3.6666666666666665
faridkot 2003,31,0.5591886851103512,0.4086036680136773,0.1924222902424618,0.41806972,4.1266356,34.780223846435554,26.49163055419922,282.7391357421875,3.6666666666666665
faridkot 2003,31,0.6375256760957414,0.4537904569474665,0.216367738529686,0.74896556,4.767284,33.72159194946289,26.12814712524414,260.04611206054693,3.6666666666666665
faridkot 2003,31,0.6246156046005595,0.4968237799191793,0.2488281243705316,0.9743234000000001,0.84893936,33.95530319213867,26.11519432067871,248.6531524658203,3.6666666666666665
